# 本项目补译的中文释义：词形(|分隔)	读音	释义
十	とお	十，十个
気遣い	きづかい	担心；顾虑；体贴
気づかれ	きづかれ	精神疲劳；心累
既定	きてい	既定；预定
規程	きてい	规程；规章
汽笛	きてき	汽笛
企図	きと	企图；计划
帰途	きと	归途
気筒	きとう	（发动机）气缸
祈祷	きとう	祈祷
危篤	きとく	病危
既得権	きとくけん	既得权益
輝度	きど	亮度；辉度
木戸	きど	木门；（相扑等场馆的）入口栅门
喜怒哀楽	きどあいらく	喜怒哀乐
機動	きどう	机动；灵活
機動隊	きどうたい	机动队；防暴警察
気に入り	きにいり	中意；喜爱的（人或物）
絹糸	きぬいと	丝线
絹織物	きぬおりもの	丝织品
キネシオロジー	きねしおろじー	运动机能学
祈念	きねん	祈念；祈祷
記念碑	きねんひ	纪念碑
記念日	きねんび	纪念日
きのこ|茸	きのこ	蘑菇
気のせい	きのせい	（只是）心理作用；错觉
気の向くままに	きのむくままに	随心所欲；随兴
木の芽	きのめ	树芽；嫩芽
気迫	きはく	气魄；魄力
揮発	きはつ	挥发
騎馬	きば	骑马
木場	きば	木材堆场
起爆	きばく	起爆；引爆
奇抜	きばつ	奇特；新奇；标新立异
気晴らし	きばらし	散心；消遣
忌避	きひ	回避；忌避
貴賓	きひん	贵宾
厳しさ	きびしさ	严厉；严峻程度
奇病	きびょう	怪病；奇病
機敏	きびん	机敏；敏捷
棋譜	きふ	棋谱
器物	きぶつ	器物；器皿
騎兵	きへい	骑兵
気泡	きほう	气泡
基本的	きほんてき	基本的
基本料金	きほんりょうきん	基本费；起步价
木彫り	きぼり	木雕
気前	きまえ	大方；慷慨
行	ぎょう	行（文字）；行业
業	ぎょう	业；行业；工作
行革	ぎょうかく	行政改革
行間	ぎょうかん	行距；字里行间
凝固	ぎょうこ	凝固；凝结
凝視	ぎょうし	凝视；注视
業種	ぎょうしゅ	行业种类
行司	ぎょうじ	（相扑）裁判
暁星	ぎょうせい	晓星；启明星
行政機関	ぎょうせいきかん	行政机关
行政処分	ぎょうせいしょぶん	行政处分
行政訴訟	ぎょうせいそしょう	行政诉讼
御苑	ぎょえん	御苑；皇家园林
魚介	ぎょかい	鱼贝类；海鲜
漁獲	ぎょかく	渔获；捕捞
玉砕	ぎょくさい	玉碎；壮烈牺牲
魚群	ぎょぐん	鱼群
漁港	ぎょこう	渔港
漁場	ぎょじょう	渔场
魚肉	ぎょにく	鱼肉
漁民	ぎょみん	渔民
魚雷	ぎょらい	鱼雷
魚類	ぎょるい	鱼类
ギラギラ	ぎらぎら	刺眼地（闪烁）；耀眼
ギリシャ|希臘	ぎりしゃ	希腊
ギルド	ぎるど	行会；公会
儀礼	ぎれい	礼仪；礼节
ギロチン	ぎろちん	断头台
銀貨	ぎんか	银币
銀河	ぎんが	银河；星系
銀紙	ぎんがみ	锡箔纸；银纸
銀杯	ぎんぱい	银杯
区	く	区（行政区划）
悔い	くい	悔恨；后悔
食い込む	くいこむ	嵌入；勒进；侵占（时间等）
食い下がる	くいさがる	紧咬不放；死缠不放
クイック	くいっく	快速的
クインテット	くいんてっと	五重奏
クイーン	くいーん	女王；（扑克/国际象棋）王后
クイーンズイングリッシュ	くいーんずいんぐりっしゅ	标准英式英语
空域	くういき	空域
クウェート|科威都	くうぇーと	科威特
空虚	くうきょ	空虚；空洞
空軍	くうぐん	空军
空車	くうしゃ	空车（尤指空车出租车）
空襲	くうしゅう	空袭
空前	くうぜん	空前
空疎	くうそ	空洞；空泛
空地	くうち	空地；闲置土地
空調	くうちょう	空调
空転	くうてん	（发动机）空转；原地打转
空洞	くうどう	空洞；洞穴
空砲	くうほう	空包弹
空母	くうぼ	航空母舰
空輸	くうゆ	空运
空欄	くうらん	空栏；空白处
空路	くうろ	空中航线；乘飞机
空～	くう～	空～（前缀，表示空的）
クエーサー	くえーさー	类星体
クオリティ	くおりてぃ	质量；品质
クオート	くおーと	夸脱（容量单位）
９月	くがつ	九月
苦境	くきょう	困境；逆境
区議	くぎ	区议员
九九	くく	乘法口诀表
苦言	くげん	忠言；逆耳之言
草刈り	くさかり	割草
草木	くさき	草木；花草树木
草の根	くさのね	草根；基层民众
草花	くさばな	花草
草分け	くさわけ	开拓者；先驱
駆使	くし	运用自如；灵活运用
句集	くしゅう	俳句集
苦笑	くしょう	苦笑
くじ引き	くじびき	抽签
葛	くず	葛（植物）
屑	くず	废料；碎屑；渣滓
崩れ	くずれ	崩溃；塌陷；过气（人物）
くせに|癖に	くせに	却，明明…可是（表不满）
苦戦	くせん	苦战；艰苦作战
くそ|糞	くそ	（骂）该死；妈的；粪便
くたばる	くたばる	（俗）死掉；翘辫子
下す	くだす	下达（命令、判断等）；使下泻
下り坂	くだりざか	下坡；（事物）走下坡路
口数	くちかず	说话数量；话多话少；家眷人数
口利き	くちきき	说合，斡旋，介绍
駆逐	くちく	驱逐；消灭
駆逐艦	くちくかん	驱逐舰
口癖	くちぐせ	口头禅
口々	くちぐち	各人（各说各的）；各个入口
口々に	くちぐちに	异口同声地
口喧嘩	くちげんか	吵嘴；口角
口答え	くちごたえ	顶嘴
口ごもる	くちごもる	支支吾吾；含糊其辞
口出し	くちだし	插嘴；多管闲事
口止め	くちどめ	封口；叮嘱保密
口火	くちび	导火线；引信；（事情的）导火索
口笛	くちぶえ	口哨
区長	くちょう	区长
クッキング	くっきんぐ	烹饪
掘削	くっさく	挖掘；开凿
クッション	くっしょん	靠垫；缓冲
屈託	くったく	担心；忧虑；无所顾忌（多用于屈託のない）
覆る	くつがえる	翻倒；颠覆；被推翻
屈辱	くつじょく	屈辱
靴屋	くつや	鞋店；鞋匠
駆動	くどう	驱动
区内	くない	区内
宮内庁	くないちょう	宫内厅
国柄	くにがら	国情；国风
苦肉の策	くにくのさく	苦肉计；无奈之策
苦悩	くのう	苦恼；烦恼
配り物	くばりもの	赠品；分发的礼物
凹み	くぼみ	凹陷；坑洼
くまなく|隈なく	くまなく	彻底地；无遗漏地
組み替え	くみかえ	重新编排；重组
組曲	くみきょく	组曲
組み立て	くみたて	组装；构造；结构
組長	くみちょう	组长；（黑帮）头目
汲み取る	くみとる	汲取；体谅（心情）
区民	くみん	区民
くも|蜘蛛	くも	蜘蛛
供物	くもつ	供品；祭品
雲行き	くもゆき	天色；（事态）走向
区役所	くやくしょ	区政府；区公所
悔し泣き	くやしなき	因懊悔而哭
供養	くよう	供养；祭奠
クライアント	くらいあんと	客户；委托人
クライシス	くらいしす	危机
クライミング	くらいみんぐ	攀岩；攀登
クライムストーリー	くらいむすとーりー	犯罪故事
食らう	くらう	吃；喝；遭受（打击等）
クラウン	くらうん	王冠；牙冠
クラクション	くらくしょん	汽车喇叭
クラゲ|水母	くらげ	水母
クラシカル	くらしかる	古典的
倉敷	くらしき	仓敷（地名）；仓储费
クラシック音楽	くらしっくおんがく	古典音乐
クラスメイト	くらすめいと	同班同学
クラッカー	くらっかー	饼干；拉炮
クラック	くらっく	裂纹；裂缝
クラッシュ	くらっしゅ	（车辆等）碰撞；崩溃
クラッチ	くらっち	离合器
クラフト	くらふと	手工艺；手工制品
クラブ活動	くらぶかつどう	社团活动；课外活动
くらべ|比べ	くらべ	比较；较量
暗闇	くらやみ	黑暗
クラン	くらん	氏族；家族
クランク	くらんく	曲柄；（道路）S形弯道
クランクイン	くらんくいん	开拍（电影开机）
クラーク	くらーく	职员；办事员
くり|栗	くり	栗子
繰り上げ	くりあげ	提前；上调
繰り上げる	くりあげる	提前；提升
繰入	くりいれ	转入；结转
クリエイター	くりえいたー	创作者；创意人
クリエイティブ	くりえいてぃぶ	创意的；富有创造力
クリオール	くりおーる	克里奥尔人（语）
繰り返し	くりかえし	反复；重复
クリケット	くりけっと	板球
クリスタル	くりすたる	水晶
クリスチャン	くりすちゃん	基督徒
クリスマスイブ	くりすますいぶ	平安夜
クリスマスカード	くりすますかーど	圣诞卡
クリスマスツリー	くりすますつりー	圣诞树
繰り出し梯子	くりだしはしご	伸缩梯
繰り出す	くりだす	抽出；放出；成群出动
区立	くりつ	区立（区营）
クリニック	くりにっく	诊所
繰り延べ	くりのべ	延期
繰り広げる	くりひろげる	展开；展现
苦慮	くりょ	苦思；费心；忧虑
クリンチ	くりんち	（拳击）搂抱
クリーク	くりーく	（高尔夫）5号木杆
クリーナー	くりーなー	清洁器；除尘器
クリーン	くりーん	干净的；清洁的
クリーンアップトリオ	くりーんあっぷとりお	（棒球）三四五棒主力打者
クリーンヒット	くりーんひっと	（棒球）干净利落的安打
繰る	くる	依次翻（页）；转动；卷绕
くるくる	くるくる	骨碌骨碌地转；滴溜溜转
苦しみ	くるしみ	痛苦；苦恼
クルス|久留子	くるす	十字架标志
クルド	くるど	库尔德人
車椅子	くるまいす	轮椅
クルー	くるー	（船、机组）乘务组；船员
クルーザー	くるーざー	巡洋舰；豪华游艇
クルージング	くるーじんぐ	巡游；巡航
クルーズ	くるーず	游轮观光；巡航
クレアチニンクリアランス	くれあちにんくりあらんす	肌酐清除率
クレイジー	くれいじー	疯狂的
クレオソート	くれおそーと	杂酚油；木馏油
クレジット	くれじっと	信用；赊销；信用卡
クレディビリティーギャップ	くれでぃびりてぃーぎゃっぷ	信任差距（可信度落差）
紅	くれない	深红；鲜红
クレンザー	くれんざー	去污粉；清洁剂
クレンジングクリーム	くれんじんぐくりーむ	卸妆膏
クレー	くれー	粘土；飞碟射击用靶
クレーコート	くれーこーと	（网球）红土场地
クレーター	くれーたー	环形山；陨石坑
クレープ	くれーぷ	可丽饼；绉纱
クロアチア	くろあちあ	克罗地亚
黒い霧	くろいきり	黑幕；疑云重重
黒色	くろいろ	黑色
黒木	くろき	未剥皮的原木
黒潮	くろしお	黑潮（暖流）
黒白	くろしろ	黑白；是非
クロス	くろす	十字；交叉；（足球）传中球
クロスカントリー	くろすかんとりー	越野（跑、滑雪）
クロスワード	くろすわーど	填字游戏
クロック	くろっく	时钟
クロニクル	くろにくる	编年史
クロノスコープ	くろのすこーぷ	计时器
黒星	くろぼし	黑点；（比赛）败绩标记
黒幕	くろまく	幕后操纵者；幕后黑手
クロム	くろむ	铬（元素符号Cr）
クロレラ	くろれら	小球藻
クローク	くろーく	衣帽间；寄存处
クローズ	くろーず	关闭
クローズアップ	くろーずあっぷ	特写；聚焦（关注）
クロール	くろーる	（游泳）自由泳；（网络）爬取
クローン	くろーん	克隆
桑	くわ	桑树
クワイア	くわいあ	合唱队
桑畑	くわばたけ	桑田
桑原	くわばら	桑田（也用作念咒祈福免灾用语）
君	くん	君（对男性或晚辈的称呼）
訓戒	くんかい	训诫；告诫
勲章	くんしょう	勋章
訓読み	くんよみ	训读（汉字的日语固有读音）
君臨	くんりん	君临；称霸；主宰
訓令	くんれい	训令；指示
クーキー	くーきー	怪异的；饼干
クーデター	くーでたー	政变
クーペ	くーぺ	双门轿跑车
クーリングオフ	くーりんぐおふ	（消费）冷静期；无理由退货期
愚	ぐ	愚蠢；愚笨
グアテマラ	ぐあてまら	危地马拉
グアテマラ共和国	ぐあてまらきょうわこく	危地马拉共和国
グアム|瓜姆	ぐあむ	关岛
偶像	ぐうぞう	偶像
偶発	ぐうはつ	偶发；意外发生
具象	ぐしょう	具象；具体化
具体化	ぐたいか	具体化；落实
グダグダ	ぐだぐだ	啰嗦冗长；拖沓
グッズ	ぐっず	商品；周边
グッド	ぐっど	好的
グライコ	ぐらいこ	图示均衡器
グライダー	ぐらいだー	滑翔机
グラグラ	ぐらぐら	摇晃；不稳固
グラスファイバー	ぐらすふぁいばー	玻璃纤维
グラタン	ぐらたん	焗菜；法式烤菜
グラデーション	ぐらでーしょん	渐变（色）；渐变剪发
